Approved Symbol	Status	Accession Numbers	Ensembl Gene ID	RefSeq IDs
A1BG	Approved		ENSG00000121410	NM_130786
A1BG-AS1	Approved	BC040926	ENSG00000268895	NR_015380
A1CF	Approved	AF271790	ENSG00000148584	NM_014576
A2M	Approved	BX647329, X68728, M11313	ENSG00000175899	NM_000014
A2M-AS1	Approved		ENSG00000245105	NR_026971
A2ML1	Approved	AK057908	ENSG00000166535	NM_144670
A2ML1-AS1	Approved		ENSG00000256661	
A2ML1-AS2	Approved		ENSG00000256904	
A2MP1	Approved	M24415	ENSG00000256069	NG_001067
A3GALT2	Approved		ENSG00000184389	NM_001080438
A4GALT	Approved		ENSG00000128274	NM_017436
A4GNT	Approved	AF141315	ENSG00000118017	NM_016161
AAAS	Approved	AJ289841	ENSG00000094914	
AACS	Approved	AK022451	ENSG00000081760	NM_023928
AACSP1	Approved		ENSG00000250420	NR_024035
AADAC	Approved	L32179	ENSG00000114771	NM_001086
AADACL2	Approved	BC065724	ENSG00000197953	NM_207365
AADACL2-AS1	Approved		ENSG00000242908	
AADACL3	Approved		ENSG00000188984	NM_001103170
AADACL4	Approved		ENSG00000204518	NM_001013630
AADACP1	Approved		ENSG00000240602	
AADAT	Approved	AF097994	ENSG00000109576	NM_016228
AAED1	Approved	BK000255	ENSG00000158122	NM_153698
AAGAB	Approved	AL136715	ENSG00000103591	NM_024666
AAK1	Approved	AB028971	ENSG00000115977	NM_014911
AAMDC	Approved	BC016854	ENSG00000087884	NM_024684
AAMP	Approved	AB209790	ENSG00000127837	NM_001087
AANAT	Approved	U40347	ENSG00000129673	NM_001088
AAR2	Approved		ENSG00000131043	NM_015511
AARD	Approved	AB181519, BC140924	ENSG00000205002	NM_001025357
AARS	Approved	D32050	ENSG00000090861	NM_001605
AARS2	Approved	AB033096	ENSG00000124608	NM_020745
AARSD1	Approved	BC004172	ENSG00000266967	NM_001261434
AARSP1	Approved		ENSG00000249038	
AASDH	Approved	AF516672	ENSG00000157426	NM_181806
AASDHPPT	Approved	AF302110	ENSG00000149313	NM_015423
AASS	Approved	AF229180	ENSG00000008311	NM_005763
AATBC	Approved		ENSG00000215458	NR_026961
AATF	Approved	AF083208	ENSG00000275700	NM_012138
AATK	Approved	AB014541	ENSG00000181409	NM_004920
